# The phase-gate criteria (docs/13, G7-G9; the G0-G6 rows are docs/7's, closed history the
# v3 plan carries by reference and this file keeps runnable). One row per criterion; adding
# a criterion is adding a line. Tab-separated:
#
#   phase     the gate it belongs to: g0 .. g9
#   kind      `tests`   — a cargo-nextest filterset, run with --no-tests=fail
#             `command` — a command run from the repository root
#   selection the filterset or the command
#   what      what the criterion establishes, in the words its plan uses (docs/7 for
#             g0-g6, docs/13 from g7 on)
#
# Two readers: `phase.sh` runs the rows for one phase and counts them, and
# `counted-selections.sh` proves every `tests` row still selects more than zero tests —
# the predecessor's defect was a gate whose selection had silently gone to zero while the
# gate stayed green.
#
# phase	kind	selection	what
g2	command	./scripts/smoke-hw.sh	the R3 write/stream/snapshot/photo recipe exists and selects tests (the run itself is evidence, not CI-gating)
g2	tests	package(webcam-handler-schema)	the write-warning classification, the negotiation diff, and the P2 answer round-trips
g2	tests	package(webcam-handler-imaging)	the pass-through-vs-re-encode decision, and the EXIF an independent reader reads back
g2	tests	package(webcam-handler-fake) and binary(battery)	the battery's write and stream arms green on fake replay
g2	tests	package(webcam-handler-fake) and binary(faults)	the fault menu is observable: clamp, INACTIVE flip, settle-never-converges, device-gone
g2	tests	package(webcam-handler-fake) and binary(corpus_replay)	every committed profile still replays through the battery after the P2 refactors
g2	tests	package(webcam-handler-engine) and test(/^pairing::/)	the guarded-set planner, the inverse plan it refuses, and the unguarded sibling (D3)
g2	tests	package(webcam-handler-engine) and test(/^write::/)	requested-vs-applied preserved through a plan, and a partial plan named at its failing write
g2	tests	package(webcam-handler-engine) and test(/^snapshot::/)	snapshot/restore ordering: automation first, the INACTIVE second pass, the inverse round trip (D4)
g2	tests	package(webcam-handler-engine) and test(/^capture::/)	the settle policy driven on a stepped clock, and the stream stopped on every exit (D5)
g2	tests	package(webcam-handler-engine) and test(/^photo::/)	the photo assembly: verbatim vs re-encode, the EXIF stamp, and both sinks (D6/D10)
g2	tests	package(webcam-handler-engine) and test(/^discover::/)	empirical pair discovery, what it declined, and that it put the camera back (PF:3)
g2	tests	package(webcam-handler-engine) and binary(faults)	the engine answers each scripted fault with its own typed refusal, never a hang
g2	tests	package(webcam-handler-v4l2) and test(/^sys::decode/)	the buffer, format and streamparm decoders Miri also executes
g2	tests	package(webcam-handler-cli-core)	the P2 verbs' clap tree, the --json contract, and every warning and outcome's distinct rendering
g2	tests	package(webcam-handler-cli) and binary(photo)	webcam-handler-cli photo E2E against the fake, EXIF-verified, including the GREY chicony-ir profile
g3	command	cargo clippy --locked --offline --workspace --all-targets -- -D warnings	zero clippy violations across the workspace, tests included
g3	command	cargo deny --offline check bans licenses sources	zero cargo-deny violations: the allowlist and every named ban, over a phase that added no dependency
g3	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree, the P3 additions included
g3	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions
g3	command	./scripts/gates/atomic-write-home.sh	state writes go through webcam-handler-engine::store::write_json_atomic, over the now-real home
g3	tests	package(webcam-handler-engine) and test(/^store::/)	the session directory layout under the XDG state dir, write_json_atomic, and the one advisory fd-lock with both protocols (D9)
g3	tests	package(webcam-handler-engine) and binary(store_faults)	every store fault-menu variant driven both directions: disk full, lock held, torn line, foreign schema_version
g3	tests	package(webcam-handler-engine) and test(/^lifecycle::/)	session create/resume wiring the D8 state machine to the store, the pre-sweep snapshot written before the first write of any sweep, and the recovery path reporting N9's four-outcome vocabulary
g3	tests	package(webcam-handler-engine) and binary(crash_recovery)	the crash-recovery criterion — kill the process between write and restore, recovery restores from the persisted snapshot
g3	tests	package(webcam-handler-engine) and binary(session_lifecycle)	lock-interaction tests in both orderings, and the state-machine refusal fixtures (select before sweep, apply with nothing calibrated and no --partial) surfaced through the engine
g3	tests	package(webcam-handler-engine) and binary(sweep)	the G3 headline criterion — a scripted session over the synthetic profile reaches Calibrated on a control whose fake frame-model has a known optimum, and metric:sharpness selects that optimum, with the physics validated in both directions and the expectation stated from the fixture
g3	tests	package(webcam-handler-engine) and test(/^calibrate::/)	the sweep executor: guarded set, settle, capture, score, record — one sample row per value {value, applied, photo, metrics, timestamp}, applied because D3 applies inside sweeps [PF:6]
g3	tests	package(webcam-handler-engine) and test(/^progress::/)	the progress hook's seam: a schema-shaped event stream with a real channel sink and a scriptable double, bounded and counting what it drops
g3	tests	package(webcam-handler-schema) and test(/^progress::/)	the calibration progress event round-trips as a DTO, so P4e transports it instead of re-plumbing it
g3	tests	package(webcam-handler-engine) and test(/^lifecycle::tests::discovery/)	empirical pair discovery at session start (D3, with the three E4 probe rules), merged with the declared table and persisted on the session
g3	tests	package(webcam-handler-cli) and binary(calibrate)	webcam-handler-cli calibrate start/plan/sweep/status/select/apply/list as CLI subprocess tests over trees built to pass and to fail, with the session files a real run wrote validated against the xtask-emitted session schema
g3	tests	package(webcam-handler-engine) and test(/^lifecycle::tests::apply/)	apply replays a session's calibrated values with D4 ordering against a fingerprint-matched camera and refuses naming the differing fields; --partial as the only path around uncalibrated controls
g3	tests	package(webcam-handler-cli-core) and test(/selector|who_chose/)	select records selector identity — agent, human, or metric:<name> — in the command surface that both CLIs share (T4)
g3	tests	package(webcam-handler-cli-core) and test(/progress/)	indicatif progress consuming the P3c hook: every event of the schema-shaped stream renders, and the --json answer draws no bar
g3	tests	package(webcam-handler-cli-core) and test(/negative_control_value/)	a negative control value survives the command line in both flag forms — every PTZ range is centred on zero, and the P3e R3 run met the refusal
g3	tests	package(webcam-handler-schema) and test(/^session::/)	the session documents the calibrate verbs answer with — the sweep request, the status, the listing, and the interruption a stopped sweep records — round-trip as DTOs
g3	command	./scripts/gates/json-validates.sh	json-validates.sh learns the new verbs; its verb population derives from --help, so landing a verb without a validation row fails the gate
g3	command	./scripts/gates/schema-artifacts-current.sh	the committed bundle still describes the P3 answers: the session document, the sweep request, the listing, and the progress event
g3	command	./scripts/gates/no-frame-bytes-in-repo.sh	a sweep writes one camera frame per sample, and none of them reached the tree (rubric A12)
g3	command	./scripts/rung-vivid.sh	the R2 vivid sweep arm: one real sweep over a writable vivid control through the actual ioctl path, or a named counted skip
g3	tests	package(webcam-handler-cli) and test(/restore_spends_the_record/)	the eighth calibrate verb: a sweep borrows the camera and `calibrate restore` spends the persisted pre-sweep snapshot that gives it back, reporting on every control it held and consuming the record (D4, §6, AGENTS rule 8, note N23)
g3	tests	package(webcam-handler-cli) and test(/belongs_to_another_camera/)	every mutating calibrate verb refuses a session recorded against another camera, naming the fields that differ — the D8 (camera fingerprint, task) law checked once rather than in `apply` alone
g3	tests	package(webcam-handler-cli) and test(/motorised_controls/)	a whole-device plan queues the PTZ controls and the sweep still demands --allow-motion: motion is a sweep flag and not a capability refusal (N19, design §5), asserted against the motorised profile
g3	tests	package(webcam-handler-engine) and test(/a_refinement_pass/)	a coarse pass followed by a fine one: no two samples of one control name one photo, so the frame that is scored is the frame that is stored across a control's whole history (D8's `precision`, note N22)
g3	tests	package(webcam-handler-engine) and test(/stopped_before_its_first_sample|recorded_nothing_is_abandoned/)	a sweep interrupted before its first sample returns the control to the state it found it in, so an availability failure is not converted into a permanent capability refusal (AGENTS rule 7, note N24)
g3	command	./scripts/smoke-hw.sh	the R3 calibration recipe exists and selects tests — a real session (start, plan, sweep, select, apply, restore) and a bounded PTZ sweep that gives the motor back, with WCH_NO_MOTION=1 excluding the motion arms as a named counted skip (the run itself is evidence, not CI-gating)
g3	tests	package(webcam-handler-engine) and (test(/still_ends_the_stream_it_opened/) + test(/closing_write_refuses/))	**a sweep that announced itself ends the stream it opened**, on every path out of `engine::calibrate::run` (note **N88**, found by P5's review and belonging here because the law is the sweep executor's). D8 gives the terminal vocabulary two members — `SweepFinished` and `SweepInterrupted` — and `CalibrationProgress::is_terminal` is what every consumer branches on; before N88 three of `run`'s four exits after the `SweepStarted` emit returned with the stream still open, so a client that saw the start waited for ever. The three tests are one per hole and each drives a real refusal rather than a seam invented for it: a control slug that names no directory (the scripted double, because no device enumerates one and the fake must not learn to — E5), a **dangling symlink** where the pass's photo directory goes, and a **directory** in place of `session.json` so the closing commit fails at `rename` — root-proof, unlike a chmod, and the one arrangement the store's own fault menu cannot express, since a blanket `DiskFull` refuses the `begin_sweep` commit *before* the sweep announces itself. The property has no static signature — a `?` between the two events looks like any other `?` — so this is a counted selection and not a grep
g4	command	cargo clippy --locked --offline --workspace --all-targets -- -D warnings	zero clippy violations across the workspace, tests included — the first gate close where --all-targets has a wire surface to read: the api and daemon crates were a five-line and a two-line scaffold at G3 and are code now (P4a, P4b), the client library did not exist at all (P4f), and ten new integration test binaries came with them; the workspace lint table denies allow_attributes and allow_attributes_without_reason (note N1), so a suppression written in a hurry against a borrow that crosses an await has to be an #[expect] carrying its reason rather than a bare #[allow] nobody has to justify
g4	command	cargo deny --offline check bans licenses sources	zero cargo-deny violations: the allowlist and every named ban, over the phase that finally spent the dependency budget — forty-eight packages join the lockfile across P4, 238 to 286, jsonrpsee's server half bringing hyper into the graph at P4b, which is what turned N5's wire-crate wall from hypothetical into live (note N38), and N57's declined dependency paid at P4f for the generated subscription client. G3's row could say "over a phase that added no dependency"; this one cannot, so the licenses arm reads forty-eight manifests it has never read and the bans arm holds over a graph wide enough to hide a door — deny.toml is the authoritative population and every entry carries its own reason
g4	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree, the P4 additions included — and the row that makes this gate's predicate population derived rather than transcribed, because run-all.sh walks scripts/gates/ rather than a list. Twenty-two predicates run and ten of them are named by no g4 row at all, the load-bearing one being counted-selections.sh: it proves that no `tests` row of this very table has silently gone to zero, which is v1's "`just gate-g4` counted" and note N10's whole family — the defect class of a gate that stayed green while checking less than it claimed. A criterion reachable only through this row is a criterion G4 could not close without it. The G4 review's agents-md-current.sh — the deployed AGENTS.md against docs/10, the drift the file's own opening anticipates and nothing checked — is the tenth, and it stays unnamed deliberately: docs/7 commissioned no criterion for it and it proves nothing P4 built, so a g4 row of its own would claim a phase asked for it. It arrives through this row, and through the identical row at g0, g1, g2 and g3, which is the right reach for an invariant that has held since the v2 series was issued at f6bc5d9 rather than since P4
g4	command	./scripts/gates/atomic-write-home.sh	state writes still go through webcam-handler-engine::store::write_json_atomic now that the thing writing them is a daemon holding the state directory for its whole lifetime (D9) — with the raw-write population docs/9 widened at P4e-i, which is what this row exists to run: the pattern was std's spellings only until daemon::server::open_destination taught this workspace another one, opening through rustix and turning the descriptor into a std::fs::File as note N51's discharge, so it now also matches the write-shaped OFlags and deliberately not rustix::fs::open( itself, which SocketDir uses O_PATH | O_DIRECTORY while naming XDG_RUNTIME_DIR. The third instance of note N10's family — a state write spelled a way the gate's hand list had never seen — and a widening commissioned for G4 that no g4 row named
g4	command	./scripts/gates/unsafe-scope.sh	the unsafe boundary's three claims, the third of them P4d's and never named by a phase row at any letter (design §2.5, rubric B10 [V] and B11): the token appears only inside the V4L2 backend's src/sys/; every crate root outside it carries #![forbid(unsafe_code)], with one root added since G3 — the client library P4f landed, in the population the moment it became a workspace member; and the residual-unsafe register in that module's mod.rs, the counted table of one row per block and the sentence above it that states the totals, describes the tree it is in. P4d is what made the third claim load-bearing rather than decorative: it put a kernel-facing module (sys::uevent) inside the exempt region and added no register row, because rustix is a safe wrapper, and "the count below is unchanged by it" was a sentence a reader had no way to check — the next edge written with libc would have made it quietly false
g4	command	./scripts/gates/json-validates.sh	the --json answers still validate against the committed JSON Schema bundle, with the verb population still scraped from webcam-handler-cli --help at both levels and an exact row match. P4 added no verb to webcam-handler-cli, which is why this row is not the repetition it looks like: P4f gave cli_core's clap tree two consumers and made the binary's name a parameter of the parse (note N64), so a verb added for webcam-handler-client's sake lands in webcam-handler-cli's help too and fails here without a validation row, and a tree that grew a per-root identity is a tree whose help output the scrape has to keep reading. It is also what anchors cli-parity.sh: that gate proves webcam-handler-cli and webcam-handler-client answer byte-identically, and byte-identical to something unvalidated is two binaries agreeing without either of them being right (design §2.7, docs/7 P4f)
g4	command	./scripts/gates/no-frame-bytes-in-repo.sh	no camera frame reached the tree over the phase that taught this project to write a photo from a process nobody is watching (rubric A12): D10's ServerPath sink lands a file on the daemon's host at a path the client names, a calibrate sweep driven over a socket writes one sample photo per sample into a session tree webcam-handler-daemon owns, and binary(signals) parks a subprocess webcam-handler-daemon on a fifo at the second sample's own photo path. Three ways for an image to be created by a webcam-handler-daemon rather than by a test, so the predicate's content check — every file in the tree sniffed for a magic number, extensions and .gitignore being advisory rather than privacy controls, corpus/images/ the one place an image may live and only under its three conditions — is answering a question G2's and G3's rows could not ask
g4	command	./scripts/mutants.sh	the mutation floor over the pure cores: every surviving mutant is a missing test or a recorded, reasoned acceptance — commissioned before G4, not after
g4	command	./scripts/gates/mutation-verdict.sh	the mutation floor's three outcomes stay distinct — green, a finding, and a run that could not produce a verdict at all — in the floor's exit code and in what this gate prints (notes N52, N66, N68)
g4	tests	package(webcam-handler-api) and test(/^codes::/)	the exhaustive code-mapping walk: every ErrorKind::ALL variant has one RPC code, the eighteen are distinct and inside the declared range, the block is exactly as wide as the registry and the eighteen a P4c client already knew are byte-identical after Unimplemented's deletion cost one endpoint, none collides with JSON-RPC's own, and each survives the trip out and back as the same typed error (D13)
g4	tests	(package(webcam-handler-api) and test(/^photo::/)) + (package(webcam-handler-schema) and test(/a_requested_write_names|a_discovery_answer_carries|a_termination_answer_names|both_ways_of_naming_a_session|a_selection_records_who_chose|a_server_path_sink_has_to_be_absolute|a_sinks_format_comes_from_its_extension/))	the DTO round-trip fixtures the wire surface added: the two-variant sink DTO answered — a ReturnBytes photo arriving byte for byte through base64 and a ServerPath one carrying none — the ServerPath request refused when it is not absolute, the extension-to-encoding rule that decides what a path names and refuses one this build does not write, and every schema document the T5 signatures needed (D10, E6, note N46)
g4	tests	(package(webcam-handler-api) and test(/^tests::/)) + package(webcam-handler-xtask)	the OpenRPC document and the T5 trait describe one surface, checked in process: the macro's inventory against a real RpcModule's method_names(), every method carrying the prose a document needs, the emitted `required` measured against what the generated server actually accepts, and every D13 code, message and citation reaching the document from the registry rather than from a table (D10, notes N28 and N33)
g4	command	./scripts/gates/schema-artifacts-current.sh	the committed OpenRPC document is still exactly what the T5 trait emits, and the committed bundle still what the types emit — both artifacts regenerated and diffed, neither named by the gate
g4	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions — OpenRPC drift included: a stale document, one emitted and never committed, one nothing emits any more, and a T5 trait that moved while its document stood still
g4	command	./scripts/gates/dependency-walls.sh	N5's wall for the wire crate re-verified now that the trait has landed: tokio allowed, no axum, no hyper, no tower-http — and from P4b the wall is live rather than hypothetical, because hyper enters the graph the moment the daemon links jsonrpsee-server (note N38), with the engine's freedom from a runtime walled beside it: engine::actor's caller-supplied reply channel is an argument that rests on it (note N41)
g4	tests	package(webcam-handler-daemon) and (test(/^uds::/) + binary(uds))	the one piece of transport code we own, version-coupled to jsonrpsee 0.26 and integration-tested on both sides: a real client's JSON-RPC call and its answer crossing a real Unix socket, every bound the socket runs under driven rather than declared (batch size, request body, an answer past jsonrpsee's own default, and connections held past the cap), the WebSocket half of the same socket **upgraded** now that this build bounds it — the assertion P4b made inverted rather than deleted, and the handshake asserted to have been agreed to rather than merely answered 101, which is what a client would otherwise hang on (note N57), a give-up on accept reported as a failure rather than a clean stop, and D11's socket directory held as a descriptor rather than checked as a name — created 0700, a wider one refused rather than repaired, a symlinked one refused inside the openat itself however private its target — as ENOTDIR, because under O_PATH it is O_DIRECTORY that refuses a link and O_NOFOLLOW that leaves one to refuse, measured rather than assumed — one owned by another uid refused in both directions, one re-permissioned between the check and the bind refused and one substituted between them *defeated* rather than detected (the socket lands in the inode whose mode and owner were asserted, and a checked directory that was unlinked fails the bind closed), a socket left by a dead daemon replaced only because D9's lifetime lock says no daemon is alive — the replacement reached by a real client connecting by D11's own name — and both spellings of the bind driven, the /proc/self/fd one a host with procfs gets and the by-name fallback it cannot otherwise reach, the second serving a real client and announcing itself at WARN so the downgrade N39 allows can never be silent (D11, notes N38 and N39)
g4	tests	package(webcam-handler-daemon) and binary(read_verbs)	read-verb integration tests over the in-memory and UDS transports: list, info, controls, get, calibrate status and calibrate list driven through the generated T5 client on both wires, every answer compared to the one engine or backend call behind it, and the two wires proven to be two rather than one run twice
g4	tests	package(webcam-handler-daemon) and binary(mutating_verbs)	the mutating half of the wire surface that writes to a camera or to a process, over both transports: set in both guard directions with the automation switch-off written first and named, a driver clamp arriving as a warning with {requested, applied} intact rather than as a refusal, snapshot/restore with an owned control counting as restored, discover_pairs writing to the camera and the device itself asserted back where it was found, profile_capture, photo over both of D10's sinks — a verbatim camera JPEG compared byte for byte against the engine's own after base64 and a socket, a file landing on the daemon's host and the answer saying where, the negotiated size surfaced when it differs from the request, a relative server path, an extension this build cannot write and a fifo or directory named as a destination all refused before any camera opens with the camera still answering afterwards, an empty camera id refused rather than resolving to the only camera on the host, and two photos in flight sharing one descriptor rather than streaming twice — and terminate_holder driven for real: a pid that does not hold the node refused HolderGone with nothing signalled, a child process this suite forked signalled and its exit status asserted to be a signal, a holder past the walk's reporting cap still nameable and signallable while the ones the caller did not name are left alive, the answer naming the target back, still_held answered rather than rendered as an error, and no other verb signalling anything when it meets Busy — with every refusal these verbs can make recovered client-side through api::codes::typed: Busy staying Busy, a settle timeout never arriving as a device that vanished, and StoreLocked never reachable (AGENTS rules 5, 7 and 8, design §5, D12, E6, notes N9, N34, N35, N42, N46 and N48)
g4	tests	package(webcam-handler-daemon) and binary(calibrate_verbs)	the eight calibrate_* verbs over the wire (D8, D9): a session opened, planned, reordered, swept, selected, applied and restored over a socket and compared against engine::lifecycle reading the same state directory, the D8 refusals each verb can make — a second session in one slot, a queue order that is not a permutation, a control this camera does not have, apply before the queue is settled — the fingerprint check walked across all six mutating verbs and the read one, naming the fields that differ rather than being implemented once out of seven, each verb resolving its camera exactly once so the session's fingerprint and the device the writes reach are one reading of the machine, calibrate restore consuming the pre-sweep snapshot and being run twice without an error, plan --order proven to open no camera, no verb answering StoreLocked, and a queue edit proven unable to interleave with a sweep rewriting the same session — which flock cannot prevent inside one process (rubric B5, notes N14, N20, N23, N43 and N47)
g4	tests	package(webcam-handler-daemon) and test(/^server::/)	the T5 surface is mounted whole and routed whole: the pinned routing list is api::METHODS itself, derived-against rather than transcribed, so a twentieth method cannot land unrouted and unremarked and the surface has no unrouted half left for a "not built yet" refusal to inhabit — the map note N43 inventoried is gone and P4d deleted the variant it answered with, which makes that absence structural rather than checked (note N6 retires here), and the registration a real into_rpc() produces is asserted to be that same pinned surface, which is what joins this claim to the method-count walk's; plus the three things the daemon adds on top of an engine call, each in both directions — a photo sink refused before a camera opens — relative, an encoding this build cannot write, and a destination that is not a regular file, the last of which is now asked of the descriptor an O_NONBLOCK open returns rather than of the name, so a fifo answers ENXIO instead of parking a camera's actor thread in open(2) forever and no client can step between the check and the write (note N51's discharge) — a photo answer checked against itself before it is sent, the bounded holder re-check answering in both directions on a paused clock and costing the number of walks its constant states, and terminate_holder's diagnosis: a camera with no capture node and a request naming this daemon (D10, design §5, notes N6, N34, N43, N46, N48 and N51)
g4	tests	package(webcam-handler-daemon) and binary(method_surface)	the T5 method-count walk (docs/9 Part 2, note N28): every method the daemon's own into_rpc() registers is exercised over the fake and answers, on both transports — the exercised side recorded at the transport from the generated client's own spelling rather than listed beside it, so a wire method with no test stops the count — the one assertion that carries the row, proven red by deleting a call and pinned non-vacuous against the twenty-two crates/api pins rather than by a loop that could not fail; one non-vacuous assertion per answer, which the compiler requires for every method because an answer nobody reads is dead code; the registered set **partitioned** rather than filtered by hand now that four of its names belong to two subscriptions no ClientT can send — the unsubscribe half derived from api::SUBSCRIPTIONS and asserted to be a subset before it is subtracted, so removing a name nothing registered weakens nothing silently, and both counts pinned: twenty-two calls since P6c closed D10's list with the three `record_*` verbs, and twenty-two plus two per subscription registered (notes N29 and N57); and the recorder itself asserted to write down what crossed the wire and nothing else, refusals included
